epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6791.07,0.67335,0.50033,1.02409,0.9432,0.91171,0.96362,0.79264,0.6281,0.40948,0.93012,0.000848969,0.000848969,0.000848969
43,6949.04,0.66226,0.4897,1.01427,0.94357,0.91731,0.96493,0.79206,0.62848,0.40383,0.92593,0.000834822,0.000834822,0.000834822
44,7107.55,0.65841,0.48117,1.01501,0.93873,0.9158,0.96225,0.79285,0.62217,0.41124,0.925,0.000820675,0.000820675,0.000820675
45,7265.61,0.6538,0.482,1.0194,0.94364,0.91768,0.96611,0.79878,0.62392,0.39831,0.92465,0.000806528,0.000806528,0.000806528
46,7423.55,0.64613,0.47556,1.01119,0.93998,0.92518,0.96593,0.80027,0.61273,0.38898,0.91587,0.00079238,0.00079238,0.00079238
47,7581.52,0.65163,0.47286,1.01243,0.94841,0.91464,0.96548,0.79938,0.6125,0.39035,0.9252,0.000778233,0.000778233,0.000778233
48,7739.12,0.63908,0.47055,1.00282,0.94692,0.91764,0.96506,0.80145,0.60453,0.38931,0.91482,0.000764086,0.000764086,0.000764086
49,7897.59,0.63098,0.4612,1.00374,0.94859,0.92094,0.965,0.80439,0.60126,0.38062,0.90771,0.000749939,0.000749939,0.000749939
50,8056.12,0.63326,0.46079,0.99758,0.95061,0.91199,0.96614,0.80549,0.59596,0.3849,0.90736,0.000735792,0.000735792,0.000735792
51,8214.91,0.62241,0.45736,0.99914,0.94668,0.92126,0.96652,0.80531,0.60069,0.37779,0.91027,0.000721645,0.000721645,0.000721645
52,8373.39,0.62343,0.45603,0.99967,0.94685,0.92263,0.9674,0.81021,0.59114,0.37304,0.90617,0.000707498,0.000707498,0.000707498
53,8531.41,0.61381,0.44469,0.99306,0.95136,0.91967,0.96815,0.8134,0.58749,0.36919,0.90316,0.000693351,0.000693351,0.000693351
54,8689.2,0.6148,0.44471,0.9932,0.94672,0.92837,0.96742,0.81117,0.59071,0.36935,0.90854,0.000679204,0.000679204,0.000679204
55,8846.68,0.61622,0.44347,0.99329,0.94412,0.92938,0.96819,0.81392,0.57963,0.36562,0.89897,0.000665057,0.000665057,0.000665057
56,9004.29,0.60706,0.44005,0.9912,0.94548,0.92853,0.96773,0.81048,0.59059,0.37041,0.90761,0.000650909,0.000650909,0.000650909
57,9161.69,0.60161,0.43251,0.98873,0.95169,0.93113,0.9695,0.81677,0.57054,0.35676,0.89423,0.000636762,0.000636762,0.000636762
58,9319.37,0.60085,0.43154,0.98437,0.94319,0.93276,0.97088,0.81692,0.5709,0.3618,0.8905,0.000622615,0.000622615,0.000622615
59,9476.76,0.59259,0.42499,0.98327,0.95508,0.92601,0.97176,0.82132,0.567,0.35668,0.89288,0.000608468,0.000608468,0.000608468
60,9634.04,0.59824,0.42843,0.98445,0.94774,0.93315,0.97176,0.82293,0.56663,0.35187,0.89294,0.000594321,0.000594321,0.000594321
61,9791.41,0.59346,0.42345,0.98303,0.95781,0.92446,0.97165,0.8255,0.55784,0.34838,0.8868,0.000580174,0.000580174,0.000580174
62,9949.37,0.59068,0.43378,0.98656,0.94802,0.93472,0.97216,0.8238,0.55634,0.34896,0.88641,0.000566027,0.000566027,0.000566027
63,10106.9,0.57691,0.41524,0.97554,0.94963,0.93499,0.97307,0.8281,0.55473,0.3414,0.88181,0.00055188,0.00055188,0.00055188
64,10264.4,0.57257,0.40567,0.9719,0.95656,0.92762,0.97158,0.82827,0.54794,0.3386,0.87631,0.000537733,0.000537733,0.000537733
65,10421.8,0.5723,0.41276,0.9727,0.95452,0.92654,0.97293,0.83084,0.54495,0.33782,0.87532,0.000523586,0.000523586,0.000523586
66,10579.3,0.56923,0.40597,0.96576,0.95454,0.93261,0.97346,0.83009,0.54619,0.33857,0.87959,0.000509438,0.000509438,0.000509438
67,10736.6,0.56674,0.40547,0.96986,0.94762,0.94037,0.97406,0.83322,0.54138,0.33314,0.87404,0.000495291,0.000495291,0.000495291
68,10894.1,0.5629,0.40081,0.97275,0.95556,0.93512,0.97292,0.83011,0.53957,0.33485,0.87498,0.000481144,0.000481144,0.000481144
69,11051.6,0.56407,0.40089,0.9656,0.95608,0.93707,0.97305,0.83456,0.53758,0.33035,0.87267,0.000466997,0.000466997,0.000466997
70,11209.3,0.55561,0.3949,0.96092,0.95059,0.93993,0.97406,0.83561,0.53448,0.32999,0.87162,0.00045285,0.00045285,0.00045285
71,11366.9,0.55441,0.39334,0.96274,0.9519,0.93457,0.97353,0.83468,0.53409,0.33291,0.86942,0.000438703,0.000438703,0.000438703
72,11524.6,0.54983,0.39021,0.96255,0.95225,0.93633,0.97325,0.83565,0.53581,0.32887,0.87236,0.000424556,0.000424556,0.000424556
73,11682.4,0.54411,0.39079,0.96251,0.9541,0.93551,0.97482,0.83886,0.52523,0.32429,0.86289,0.000410409,0.000410409,0.000410409
74,11840.3,0.54971,0.3859,0.96215,0.95374,0.93755,0.9756,0.83955,0.52404,0.32183,0.86299,0.000396262,0.000396262,0.000396262
75,11997.8,0.54463,0.38868,0.95915,0.9545,0.93963,0.97565,0.83969,0.52284,0.32288,0.86189,0.000382115,0.000382115,0.000382115
76,12155.7,0.53911,0.38062,0.95354,0.95808,0.93603,0.97607,0.842,0.52233,0.31836,0.863,0.000367967,0.000367967,0.000367967
77,12313.3,0.52895,0.37312,0.95362,0.95821,0.94037,0.9761,0.84325,0.5163,0.31572,0.86283,0.00035382,0.00035382,0.00035382
78,12470.9,0.53754,0.38133,0.95438,0.95368,0.94184,0.97642,0.84365,0.5153,0.31747,0.86064,0.000339673,0.000339673,0.000339673
79,12628.4,0.53184,0.37832,0.95232,0.95981,0.94078,0.97747,0.84704,0.50907,0.31008,0.85477,0.000325526,0.000325526,0.000325526
80,12786.3,0.52819,0.37103,0.95299,0.95794,0.94183,0.9774,0.84749,0.50621,0.30957,0.85637,0.000311379,0.000311379,0.000311379
81,12944.2,0.52826,0.37012,0.95211,0.95786,0.94466,0.9778,0.85005,0.50458,0.30716,0.8576,0.000297232,0.000297232,0.000297232
82,13102.2,0.52497,0.3657,0.95168,0.95835,0.94288,0.97684,0.85037,0.50435,0.30541,0.85402,0.000283085,0.000283085,0.000283085
83,13259.9,0.51656,0.3608,0.94537,0.95968,0.94302,0.97758,0.85156,0.50138,0.30433,0.85051,0.000268938,0.000268938,0.000268938
84,13417.7,0.51578,0.36119,0.95043,0.96071,0.94191,0.97756,0.8509,0.50128,0.30213,0.85223,0.000254791,0.000254791,0.000254791
85,13575.4,0.51336,0.36368,0.94733,0.95886,0.94046,0.97683,0.85146,0.49961,0.3054,0.85079,0.000240644,0.000240644,0.000240644
86,13732.9,0.50783,0.35875,0.94506,0.9657,0.93359,0.97671,0.85242,0.49523,0.30023,0.84938,0.000226497,0.000226497,0.000226497
87,13890.6,0.50226,0.35051,0.9409,0.96782,0.93691,0.97755,0.85261,0.49562,0.30162,0.84987,0.000212349,0.000212349,0.000212349
88,14048.1,0.49997,0.34746,0.94061,0.96237,0.93722,0.97774,0.85459,0.49303,0.29877,0.8474,0.000198202,0.000198202,0.000198202
89,14205.7,0.4992,0.35099,0.93603,0.95934,0.94281,0.97835,0.85467,0.49174,0.29551,0.84454,0.000184055,0.000184055,0.000184055
90,14363.1,0.50131,0.34774,0.9401,0.96198,0.93971,0.97793,0.8563,0.4891,0.29412,0.84506,0.000169908,0.000169908,0.000169908
91,14516.5,0.46526,0.2912,0.92052,0.96011,0.94309,0.97715,0.85375,0.49171,0.29776,0.84628,0.000155761,0.000155761,0.000155761
92,14669.9,0.45314,0.28635,0.91219,0.96425,0.93949,0.97687,0.85627,0.48831,0.29432,0.84437,0.000141614,0.000141614,0.000141614
93,14823,0.46143,0.3406,0.92114,0.95713,0.94657,0.97772,0.85724,0.48649,0.29485,0.84415,0.000127467,0.000127467,0.000127467
94,14975.8,0.44461,0.27582,0.91521,0.97115,0.93464,0.97799,0.85948,0.48283,0.29172,0.84243,0.00011332,0.00011332,0.00011332
95,15128.7,0.44143,0.27445,0.90903,0.96215,0.94357,0.97836,0.85923,0.4825,0.29236,0.84243,9.91726e-05,9.91726e-05,9.91726e-05
96,15281.9,0.43751,0.27694,0.90883,0.96381,0.94192,0.97724,0.86138,0.47994,0.29166,0.84086,8.50255e-05,8.50255e-05,8.50255e-05
97,15434.9,0.43654,0.27231,0.90659,0.96766,0.9411,0.9784,0.86213,0.47851,0.28918,0.83883,7.08784e-05,7.08784e-05,7.08784e-05
98,15588.1,0.43093,0.26832,0.90815,0.96382,0.94411,0.97917,0.86307,0.47687,0.28824,0.83695,5.67313e-05,5.67313e-05,5.67313e-05
99,15741.3,0.42465,0.26379,0.90236,0.96379,0.94624,0.9794,0.86357,0.47448,0.28634,0.83725,4.25842e-05,4.25842e-05,4.25842e-05
100,15894.3,0.42697,0.26281,0.90381,0.96457,0.94463,0.9788,0.86402,0.47425,0.28534,0.83742,2.84371e-05,2.84371e-05,2.84371e-05
